s,H/h,S0,type,R/h
0.087488663525924,0.138666666666667,1.70457055074577,SB,0.405777777777778
0.087488663525924,0.107555555555556,1.93546175955203,NB,0.338222222222222
0.087488663525924,0.0764444444444444,2.29576829857873,NB,0.242222222222222
0.087488663525924,0.0497777777777778,2.84500652442535,NB,0.177777777777778
0.087488663525924,0.156,1.60708452725763,PB,0.461
0.087488663525924,0.121,1.82477084654199,NB,0.369
0.087488663525924,0.086,2.16447110927749,NB,0.2735
0.087488663525924,0.046,2.95952561463436,NB,0.196
0.087488663525924,0.172571428571429,1.52797613732839,PB,0.518285714285714
0.087488663525924,0.132571428571429,1.74331573819634,PB,0.42
0.087488663525924,0.0982857142857143,2.02467732862173,NB,0.326285714285714
0.087488663525924,0.0611428571428572,2.56701351081931,NB,0.223428571428571
0.087488663525924,0.181333333333333,1.49060370541419,PB,0.542
0.087488663525924,0.134666666666667,1.7297007103813,PB,0.424666666666667
0.087488663525924,0.141333333333333,1.68841311926053,PB,0.43
0.087488663525924,0.0946666666666667,2.06301543042044,NB,0.314666666666667
0.087488663525924,0.0613333333333333,2.56302436542411,NB,0.214
0.087488663525924,0.2096,1.38645372787822,SB,0.5992
0.087488663525924,0.1696,1.54130325301108,PB,0.5168
0.087488663525924,0.1216,1.82026337770661,NB,0.3904
0.087488663525924,0.0736,2.33971043396358,NB,0.2512
0.087488663525924,0.212,1.37858353906974,SB,0.603
0.087488663525924,0.172,1.53051219905248,PB,0.528
0.087488663525924,0.112,1.89667101628357,NB,0.36
0.087488663525924,0.062,2.54920742182785,NB,0.221
0.087488663525924,0.256,1.25452995699762,SB,0.678666666666667
0.087488663525924,0.208,1.39177602663401,SB,0.589333333333333
0.087488663525924,0.202666666666667,1.40996994951379,SB,0.558666666666667
0.087488663525924,0.156,1.60708452725763,PB,0.504
0.087488663525924,0.136,1.72120090115187,PB,0.438666666666667
0.087488663525924,0.122666666666667,1.81233190913774,NB,0.436
0.087488663525924,0.0826666666666667,2.20767838681875,NB,0.270666666666667
0.087488663525924,0.444,0.952597711676261,SB,1.112
0.087488663525924,0.304,1.15123564298885,SB,0.72
0.087488663525924,0.244,1.2850088118106,SB,0.592
0.087488663525924,0.204,1.40535465088022,SB,0.588
0.087488663525924,0.134,1.73399811007389,PB,0.378
0.176326980708465,0.143111111111111,3.38167082674044,NB,0.430666666666667
